clinic_name,clinic_type,address,old_address,ward,prov,latitude,longitude,price,phone,website,operating_hours,license_number,license_issue_date,description,target_groups,ggmaps_link
Bệnh viện Tâm thần TP. HCM,Bệnh viện công lập,,,,Thành phố Hồ Chí Minh,,,,,,,,,,Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,
Bệnh viện đa khoa khu vực Hóc Môn,Bệnh viện công lập,,,,Thành phố Hồ Chí Minh,,,,,,,,,"Cung cấp dịch vụ đánh giá sức khoẻ tâm thần; Thăm khám, chữa bệnh về tâm lý/ tầm thần",Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,
Bệnh viện Nguyễn Trãi,Bệnh viện công lập,,,,Thành phố Hồ Chí Minh,,,,,,,,,,Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,
Bệnh viện đa khoa khu vực Củ Chi,Bệnh viện công lập,,,,Thành phố Hồ Chí Minh,,,,,,,,,,Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,
Bệnh viện đa khoa khu vực Thủ Đức,Bệnh viện công lập,,,,Thành phố Hồ Chí Minh,,,,,,,,,,Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,
Bệnh viện đa khoa Hoàn Mỹ Sài Gòn,Bệnh viện tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,"Cung cấp dịch vụ đánh giá sức khoẻ tâm thần; Thăm khám, chữa bệnh về tâm lý/ tầm thần",Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,
Bệnh viện Nhân Ái,Bệnh viện tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,
Bệnh viện Lê Văn Thịnh,Bệnh viện tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,
Bệnh viện đa khoa Vạn Hạnh,Bệnh viện tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,Nhân viên Y tế; Người bệnh mạn tính; Người có H; Cộng đồng LGBTQ+; Nạn nhân buôn bán người,
Bệnh viện Đức Khang,Bệnh viện,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Bệnh viện Lê Văn Việt,Bệnh viện,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Bệnh viện đa khoa Thủ Đức,Bệnh viện,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Bệnh viện đa khoa Khánh Hội (Bệnh viện Quận 4 cũ),Bệnh viện,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Bệnh viện đa khoa Hồng Đức III,Bệnh viện,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Bệnh viện đa khoa Lãnh Binh Thăng (Bệnh viện Quận 11 cũ),Bệnh viện,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Bệnh viện Tâm Anh,Bệnh viện,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Bệnh viện đa khoa quốc tế Hoàn Mỹ Thủ Đức,Bệnh viện,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Bệnh viện Xuyên Á,Bệnh viện,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Bệnh viện đa khoa quốc tế Vinmec Central Park,Bệnh viện,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Bệnh viện Hồng Đức II,Bệnh viện,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Bệnh viện FV,Bệnh viện,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Bệnh viện Gia An 115,Bệnh viện,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Bệnh viện đa khoa An Sinh,Bệnh viện,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Bệnh viện Triều An,Bệnh viện,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
"Khoa Tâm lý, Bệnh viện Nhi Đồng 1",Bệnh viện,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Bệnh viện Phục hồi chức năng - Điều trị bệnh nghề nghiệp,Bệnh viện,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Bệnh viện Y học cổ truyền,Bệnh viện,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
"Khoa Tâm lý - Vật lý trị liệu, Bệnh viện Nhi Đồng 2",Bệnh viện,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Bệnh viện Nhi Đồng Thành Phố,Bệnh viện,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Bệnh viện Ngoại Thần kinh quốc tế,Bệnh viện,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Bệnh viện Ngoại Sante,Bệnh viện,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
"Phòng khám tâm lý thuộc Khoa Khám Bệnh, Bệnh viện quốc tế Vinmec, TP. HCM",Bệnh viện,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Phòng khám đa khoa thuộc Khoa Khám bệnh Trung tâm Y tế Phường Gò Vấp/ Phòng khám đa khoa Nguyễn Thái Sơn,Trung tâm Y tế,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Bệnh viện quốc tế City,Bệnh viện,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Phòng khám đa khoa (thuộc Công ty TNHH Y tế Đại Phước),Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Phòng khám đa khoa (thuộc Công ty TNHH PK đa khoa quốc tế Hàng Xanh),Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Phòng khám đa khoa (thuộc Công ty TNHH PK đa khoa Nhơn Tâm),Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Phòng khám đa khoa (thuộc Công ty TNHH PK đa khoa Hưng Dũng),Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Phòng khám đa khoa (thuộc SIM Medical Center - Chi nhánh Công ty CP SIM MED),Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Phòng khám đa khoa Victoria Healthcare (thuộc Công ty CP Phát triển Y tế Victoria Healthcare),Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Phòng khám Jio Health,Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Phòng khám chuyên khoa Tâm thần - BS CK1 Nhữ Văn Minh,Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Phòng mạch Bác sĩ Chu Quang An - Chuyên khoa Tâm thần,Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Phòng khám Tâm Thần kinh - Bác sĩ Vũ Kim Hoàn,Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Phòng khám chuyên khoa Tâm thần - Bác sĩ Chu Thị Dung,Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Phòng khám Tâm Thần kinh - Bác sĩ Đặng Thế Ân,Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Phòng khám Prof. Thọ & Dr. Nguyên,Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Phòng khám Chuyên khoa Tâm thần Bác sĩ Huỳnh Thanh Hiển,Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Phòng khám Chuyên khoa Tâm thần Bác sĩ Nguyễn Trung Hoàng,Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Phòng khám Tâm Thần Kinh Mất Ngủ Bác sĩ Lê Đỗ Hưng,Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Phòng khám Tâm thần kinh Nguyễn Thế Hùng,Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Phòng Khám Chuyên Khoa Tâm Thần - Trần Duy Trâm,Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Phòng khám chuyên khoa Tâm thần Bác sĩ Giang Vân,Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Phòng khám Tâm thần kinh - Bác sĩ Phan Văn Tiễn,Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Phòng khám Thần kinh - BS. Nguyễn Văn Hường,Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Phòng khám Chuyên khoa Tâm thần kinh - BS. Nguyễn Đức Tuệ,Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
Phòng khám Chuyên khoa Tâm thần kinh - BS. Nguyễn Đức Chinh,Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
"Phòng khám Tâm
lý - Tâm thần
BS.CKII. Đặng Thị
Ngọc Hạnh",Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
"Phòng Khám
Chuyên Khoa Tâm
Thần - Trần Trung
Nghĩa",Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
"Phòng Khám
Chuyên Khoa Tâm
Thần - Nguyễn Thị
Nhỏ",Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
"Phòng khám Bác
sĩ Phạm Văn Khởi",Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
"Phòng mạch
chuyên Tâm thần
kinh của BS
Nguyễn Đăng Đức",Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
"Phòng Khám
Chuyên Khoa Tâm
Thần - Nguyễn
Đức Khôi",Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
"Phòng khám Thần
kinh – Bác sĩ Đào
Trần Thái",Phòng khám tư nhân,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
,,,,,Thành phố Hồ Chí Minh,,,,,,,,,,,
